Time,Topic,Payload
2022-05-16 10:37:33.010199,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:37:32Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.61,""H"":56.41,""rssi"":-55}]}'"
2022-05-16 10:37:33.010199,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:37:32Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.61,""H"":56.41,""rssi"":-55}]}'"
2022-05-16 10:38:02.761769,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:38:01Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.61,""H"":56.41,""rssi"":-57}]}'"
2022-05-16 10:38:02.761769,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:38:01Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.61,""H"":56.41,""rssi"":-57}]}'"
2022-05-16 10:38:32.764145,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:38:32Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.59,""H"":56.51,""rssi"":-58}]}'"
2022-05-16 10:38:32.764145,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:38:32Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.59,""H"":56.51,""rssi"":-58}]}'"
2022-05-16 10:39:02.280387,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:39:01Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.56,""H"":56.48,""rssi"":-57}]}'"
2022-05-16 10:39:02.280387,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:39:01Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.56,""H"":56.48,""rssi"":-57}]}'"
2022-05-16 10:39:32.123479,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:39:31Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.42,""H"":56.77,""rssi"":-57}]}'"
2022-05-16 10:39:32.123479,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:39:31Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.42,""H"":56.77,""rssi"":-57}]}'"
2022-05-16 10:40:01.803726,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:40:00Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.44,""H"":56.95,""rssi"":-55}]}'"
2022-05-16 10:40:31.747389,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:40:30Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.49,""H"":56.90,""rssi"":-58}]}'"
2022-05-16 10:40:31.747389,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:40:30Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.49,""H"":56.90,""rssi"":-58}]}'"
2022-05-16 10:41:01.480262,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:41:00Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.51,""H"":56.88,""rssi"":-55}]}'"
2022-05-16 10:41:31.272317,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:41:30Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.52,""H"":56.73,""rssi"":-55}]}'"
2022-05-16 10:41:31.272317,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:41:30Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.52,""H"":56.73,""rssi"":-55}]}'"
2022-05-16 10:42:00.978927,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:42:00Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.52,""H"":56.75,""rssi"":-58}]}'"
2022-05-16 10:42:35.825286,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:42:35Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.53,""H"":56.87,""rssi"":-58}]}'"
2022-05-16 10:42:36.018896,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:42:35Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.53,""H"":56.87,""rssi"":-58}]}'"
